"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
14,151566.39,6589.84304347826,4217.5,6325.485,92350,20000,39216.39,27277,72,26,2105.08875,2
5,161770.58,32354.116,50000,103670.58,8100,28086,5019.35,9477,13,7,12443.8907692308,2
3,2749,343.625,4217.5,2499,4550,28086,250,2943,8,3,343.625,1
25,162705.87,3389.705625,107400,6325.485,46805.87,8500,5019.35,4421,245,139,664.105591836735,2
6,45540,4140,4217.5,23310,19480,2750,5019.35,1455,18,13,2530,1
7,15006.46,1667.38444444444,210,896.46,11300,28086,2600,1407,23,9,652.454782608696,2
11,59360.03,2968.0015,22425.95,21562.08,12372,28086,3000,737,42,23,1411.98166666667,1
30,1107579.77,12444.7165168539,270444.82,728000,40681.37,68453.58,5019.35,134138,346,117,3198.72705202312,2
9,21372.43,1942.94818181818,10672.43,6325.485,10700,28086,5019.35,16082,26,13,713.716538461538,2
13,89464,6881.84615384615,4217.5,70000,15964,1500,2000,13798,37,15,2415.49189189189,2
1,4550,1137.5,4217.5,6325.485,4550,28086,5019.35,2361,21,5,220.845238095238,2
2,1767.5,589.166666666667,67.5,6325.485,4550,1700,5019.35,282,3,2,589.166666666667,2
3,1718,429.5,270,6325.485,1448,28086,5019.35,282,4,3,429.5,2
1,2100,700,2100,6325.485,4550,28086,5019.35,269,3,1,700,2
7,19346.34,1612.195,4347.83,5508.51,9490,28086,5019.35,3956,20,7,965.007,2
16,1956049.3,25077.5551282051,1626024.3,1e+05,15835,208890,5300,1524361,2952,1104,662.618326558266,2
2,1882.08,941.04,4217.5,782.08,1100,28086,5019.35,304,2,2,941.04,1
4,995,165.833333333333,150,145,700,28086,5019.35,494,6,4,165.833333333333,2
2,4862,972.4,4217.5,6325.485,362,28086,4500,1095,15,7,320.728,2
1,760,253.333333333333,760,6325.485,4550,28086,5019.35,280,3,1,253.333333333333,2
4,5508.93,786.99,4528.93,6325.485,980,28086,5019.35,99,7,4,786.99,1
5,3640,606.666666666667,1790,6325.485,1850,28086,5019.35,602,6,5,606.666666666667,1
4,14575.6,767.136842105263,11775.6,6325.485,2800,28086,5019.35,741,20,6,728.78,1
6,17649.83,1470.81916666667,4217.5,9259.43,8372,28086,18.4,195,12,6,1470.81916666667,1
4,7305.93,1043.70428571429,300.93,450,5455,28086,1100,735,17,6,503.960588235294,2
3,9332.5,777.708333333333,7082.5,6325.485,1000,28086,1250,843,14,4,666.607142857143,2
11,1326148.6,60279.4818181818,1500,1255148.6,27500,30000,12000,82582,354,215,3739.89016949153,2
5,1276.8,159.6,805.8,6325.485,200,28086,271,1347,11,6,116.072727272727,2
141,1795659.98,11293.4589937107,4217.5,550000,189350,1044462.08,11847.9,105303,761,263,2359.60576872536,2
16,390634.44,14467.9422222222,12163.5,204926.4,14394.4,159150.14,5019.35,84820,85,35,4591.39223529412,2
3,15589.27,1417.20636363636,12607.77,2981.5,4550,28086,5019.35,1022,11,3,1417.20636363636,2
4,4598.5,766.416666666667,1512.5,6325.485,3086,28086,5019.35,1622,6,4,766.416666666667,2
2,1010,505,4217.5,1000,4550,28086,10,159,4,3,502.5,2
1,2296.07,574.0175,4217.5,2296.07,4550,28086,5019.35,99,4,1,574.0175,1
8,15842.52,1056.168,11392.52,6325.485,4450,28086,5019.35,9775,11,5,1376.59272727273,1
3,5152.9,515.29,3652.9,6325.485,1500,28086,5019.35,471,11,4,468.445454545455,2
6,6904,863,760,116,6028,28086,5019.35,1412,11,7,627.636363636364,2
3,74450,6204.16666666667,21450,50000,4550,28086,3000,2258,41,30,1815.85365853659,2
4,5600,1120,1500,6325.485,3500,600,5019.35,238,10,7,560,1
3,10730,1192.22222222222,9250,6325.485,300,1180,5019.35,2250,9,4,1192.22222222222,2
55,191624.77,2017.10284210526,12574.27,6325.485,150750,28086,28300.5,19488,192,87,998.045677083333,2
14,314764.44,8993.26971428571,173131.83,6325.485,28380,80000,33252.61,15738,288,237,1092.63885416667,2
6,4558.86,414.441818181818,1143.06,6325.485,1523,28086,1892.8,1020,14,8,325.511428571429,2
11,1274000,91000,4217.5,5e+05,9000,730000,35000,120059,288,129,4407.40319444444,2
3,35199.25,2707.63461538462,210,5069.25,4550,28086,29920,1150,36,32,977.756944444444,1
5,6080,1013.33333333333,4217.5,6325.485,5000,28086,1080,941,9,7,675.555555555556,1
1,4299.04,477.671111111111,4217.5,4299.04,4550,28086,5019.35,160,13,4,330.16,1
4,3100,775,800,6325.485,2300,28086,5019.35,312,4,4,775,2
19,406480.36,10162.009,123789.71,6325.485,96550,145000,41140.65,77793,455,186,893.363428571429,2
3,1862,372.4,4217.5,6325.485,1170,28086,692,833,5,2,372.4,2
6,27110.68,531.581960784314,19310.68,6325.485,7800,28086,5019.35,1780,57,8,474.741754385965,2
10,9050,822.727272727273,4217.5,6325.485,9050,28086,5019.35,3908,12,5,754.166666666667,2
2,1000,500,4217.5,6325.485,1000,28086,5019.35,44,2,2,500,1
3,5105,850.833333333333,1105,4000,4550,28086,5019.35,985,6,3,850.833333333333,2
6,48690,3745.38461538462,34014,5000,4126,28086,5550,31924,58,18,839.351206896552,2
4,4237,1059.25,364,1000,4550,2873,5019.35,917,4,3,978.25,2
12,286748,13034,122650,6325.485,58700,30398,75000,15505,421,191,681.111638954869,1
5,12500.09,1785.72714285714,4217.5,5000,3000,28086,4500,1325,9,6,1388.88888888889,2
5,24135.77,2011.31416666667,16535.77,6325.485,2000,28086,5600,1288,22,7,1097.01636363636,2
2,750,375,4217.5,6325.485,750,28086,5019.35,268,2,2,375,2
2,14648.82,1831.1025,14348.82,6325.485,4550,300,5019.35,7576,8,2,1831.1025,2
